Replay_ID,Player_ID,Day,Step,Liquid_Cash,Net_Worth,Hands_Hired,Farm_Size,Planted_Crops,Animals,Shed_Inventory,Seed_Inventory
episode-104523697-replay.json,0,0,0,3000.0,3000.0,0,25,0,0,0,0
episode-104523697-replay.json,1,0,0,3000.0,3000.0,0,25,0,0,0,0
episode-104523697-replay.json,0,3,72,201.0,381.0,0,25,19,5,6,2
episode-104523697-replay.json,1,3,72,201.0,381.0,0,25,19,5,6,2
episode-104523697-replay.json,0,6,144,850.0,1467.0,0,25,19,6,18,0
episode-104523697-replay.json,1,6,144,850.0,1467.0,0,25,19,6,18,0
episode-104523697-replay.json,0,9,216,660.0,1860.0,0,50,34,12,25,0
episode-104523697-replay.json,1,9,216,660.0,1860.0,0,50,34,12,25,0
episode-104523697-replay.json,0,12,288,13575.0,17138.0,0,75,56,12,75,0
episode-104523697-replay.json,1,12,288,13575.0,17138.0,0,75,56,12,75,0
episode-104523697-replay.json,0,15,360,19047.0,21761.0,0,75,59,14,61,0
episode-104523697-replay.json,1,15,360,19047.0,21761.0,0,75,59,14,61,0
episode-104523697-replay.json,0,18,432,27216.0,29854.0,0,75,58,14,100,0
episode-104523697-replay.json,1,18,432,27216.0,29854.0,0,75,58,14,100,0
episode-104523697-replay.json,0,21,504,33956.0,35890.0,0,75,59,14,100,0
episode-104523697-replay.json,1,21,504,33956.0,35890.0,0,75,59,14,100,0
episode-104523697-replay.json,0,24,576,34870.0,35574.0,0,75,59,7,100,0
episode-104523697-replay.json,1,24,576,34870.0,35574.0,0,75,59,7,100,0
episode-104523697-replay.json,0,27,648,35070.0,36962.0,0,75,61,4,100,0
episode-104523697-replay.json,1,27,648,35070.0,36962.0,0,75,61,4,100,0
episode-104523697-replay.json,0,30,719,42945.0,42945.0,11,75,0,4,0,0
episode-104523697-replay.json,1,30,719,42945.0,42945.0,11,75,0,4,0,0
episode-104523770-replay.json,0,0,0,3000.0,3000.0,0,25,0,0,0,0
episode-104523770-replay.json,1,0,0,3000.0,3000.0,0,25,0,0,0,0
